model,fold,accuracy,macro_f1,weighted_f1,mae,qwk,adj_acc
clip_frozen,0,0.3034970857618651,0.2576900595783838,0.2905848481720889,1.4059117402164862,0.1294032863008382,0.5953372189841799
clip_frozen,1,0.2433333333333333,0.1483150571768219,0.1852035044758808,1.5491666666666666,0.0498210198931987,0.5158333333333334
clip_frozen,2,0.2824459234608985,0.2374509163059307,0.2688985092361478,1.4995840266222962,0.0762337038178007,0.5661397670549085
clip_frozen,3,0.2915451895043732,0.2541969360591201,0.280059591559126,1.4552269887546856,0.083932512268263,0.590170762182424
clip_frozen,4,0.3261231281198003,0.2835131471145188,0.3132792808242418,1.3406821963394342,0.1978979731902107,0.6173044925124792
clip_ft,0,0.2318900915903413,0.1433303032627349,0.1338877866163455,1.5266444629475435,0.1019306577696702,0.6094920899250624
clip_ft,1,0.2316666666666666,0.0752368064952638,0.0871493008570139,1.17875,0.0,0.6975
clip_ft,2,0.2312811980033277,0.1238744741248537,0.1238099028418211,1.5066555740432612,0.0532383011403257,0.6102329450915142
clip_ft,3,0.2490628904623073,0.1430066654287281,0.1345670181755358,1.4668887963348605,0.0493857638700286,0.6322365680966264
clip_ft,4,0.2728785357737104,0.2274156533679354,0.2288261783156779,1.4825291181364393,0.0958517827773793,0.6094009983361065
clip_sim,0,0.2885095753538718,0.1620501981701178,0.2151755927121199,1.3850957535387178,0.0656457067687362,0.5836802664446294
clip_sim,1,0.2833333333333333,0.1619569040552414,0.2108500222518914,1.4016666666666666,0.0316310855231224,0.59875
clip_sim,2,0.2803660565723793,0.1675848954432762,0.2165845284130457,1.3818635607321132,0.0320733615933226,0.6089850249584027
clip_sim,3,0.2990420658059142,0.1710820983050966,0.2244111886204315,1.3794252394835484,0.0602126238835591,0.5943356934610579
clip_sim,4,0.2861896838602329,0.1612975554775986,0.213740070750543,1.3881031613976706,0.0548873327116402,0.5944259567387687
clip_svm,0,0.3892589508742714,0.3577389778861034,0.3866191240169719,1.1182348043297252,0.2833920241271911,0.6981681931723563
clip_svm,1,0.39875,0.3741670551762603,0.3999504340240538,1.1208333333333331,0.2987198797487264,0.6795833333333333
clip_svm,2,0.3768718801996672,0.3469014329573535,0.3765591350212763,1.180532445923461,0.2407006810612206,0.6676372712146422
clip_svm,3,0.4044148271553519,0.3807913512186343,0.4034542043958662,1.127030403998334,0.267680947180463,0.690545605997501
clip_svm,4,0.4147254575707155,0.383057881207006,0.4109120717948212,1.0973377703826954,0.2929891994938355,0.6863560732113144
clip_xgb,0,0.4121565362198168,0.3652870117119013,0.3983724328579929,1.0999167360532889,0.2699944082570062,0.7019150707743547
clip_xgb,1,0.4133333333333333,0.3799723441245429,0.4058311948338836,1.115,0.2738252752352079,0.6841666666666667
clip_xgb,2,0.4113976705490849,0.3708284885098861,0.4021825065366982,1.1235440931780365,0.2537635112892634,0.6859400998336106
clip_xgb,3,0.4306538942107455,0.3823100449157899,0.4151281454430019,1.1112036651395252,0.2482247657537546,0.6922115785089547
clip_xgb,4,0.4588186356073211,0.4171008406164961,0.443010686925237,1.057820299500832,0.2978577394155138,0.699667221297837
